author,title,date_publication,nb_tokens,src
Mael,UneFrancaiseAuPoleNord,1893,70330,https://gallica.bnf.fr/ark:/12148/bpt6k5698198g
Mainard,PlusHautPlusGrandLeChicago,1892,45823,https://gallica.bnf.fr/ark:/12148/bpt6k5803606d
Maisonneuve,1893MoeursDeDemain,1882,71913,https://gallica.bnf.fr/ark:/12148/bpt6k6556784r
Marx,LAmourEnMilleAnsDIci,1889,9170,https://gallica.bnf.fr/ark:/12148/bpt6k5850013x/f6.item
Masson,UtopieDesIlesBienheureusesDansLePacifiqueEnLAn1980,1921,39573,https://gallica.bnf.fr/ark:/12148/bpt6k101797c
Matthis,PiqueTotoLaPaixEtLaGuerre,1888,19421,https://gallica.bnf.fr/ark:/12148/bpt6k5652144z
Meaulle,LeRobinsonDesAirs,1889,42992,https://gallica.bnf.fr/ark:/12148/bpt6k5804552m
Melandri,LesHommesLuisants,1882,1082,https://gallica.bnf.fr/ark:/12148/bpt6k1055132d/f2.item
Mendes,AuVingtEtUniemeSiecle,1884,477,https://archive.org/details/pourlireaubain00mend
Meric,LeCrimeDesVieux,1927,77316,https://gallica.bnf.fr/ark:/12148/bpt6k202990t
Mille,DansTroisCentsAns,1922,5395,http://archeosf.publie.net/trois-cents-ans-pierre-mille-partie-1/
Mille,HistoireFuturiste,1919,1308,https://gallica.bnf.fr/ark:/12148/bpt6k7601640r/f2.image
Minhar,AuSoleilDeLAvenir,1897,1903,https://gallica.bnf.fr/ark:/12148/bpt6k1051590/f89.item
Minhar,PagesQuietesLesJoiesFutures,1894,1419,https://gallica.bnf.fr/ark:/12148/bpt6k105104c/f9.item
Montegut,AutrePlanete,1899,1920,https://gallica.bnf.fr/ark:/12148/bpt6k7622639z
Moselli,LaPrisonDeGlace,1919,76800,https://www.ebooksgratuits.com/html/moselli_la_prison_de_glace.html
Mouton,LHistorioscope,1882,9098,https://gallica.bnf.fr/ark:/12148/bpt6k6572098p
Mullem,LaPhilanthropophagie,1890,3619,https://gallica.bnf.fr/ark:/12148/bpt6k68711q/f237.image
Mullem,LeProgresSupremeContePsychopathique,1894,7194,https://gallica.bnf.fr/ark:/12148/bpt6k1083145/f308.item
Mullem,LExpressTimes,1890,1659,https://gallica.bnf.fr/ark:/12148/bpt6k68711q/f255.image
Neulif,LUthopieContemporaineNotesDeVoyage,1886,79638,https://gallica.bnf.fr/ark:/12148/bpt6k101867n.#
